x,y,z
-27663.5,-497146,6.35853e+06
-6677.46,-496011,6.35868e+06
14309.2,-494875,6.35876e+06
35296.3,-493740,6.35876e+06
-99031.2,-487094,6.3586e+06
41402,-484556,6.35943e+06
62391.5,-483421,6.35935e+06
83380.9,-482285,6.35919e+06
104370,-481150,6.35897e+06
-92940.5,-477910,6.35939e+06
-71952.1,-476775,6.35975e+06
-50962.5,-475639,6.36004e+06
-29971.7,-474504,6.36025e+06
-8980.04,-473369,6.3604e+06
110483,-471966,6.35955e+06
131474,-470830,6.35924e+06
152463,-469695,6.35885e+06
-164321,-467858,6.35869e+06
-143335,-466723,6.35928e+06
-2877.69,-464184,6.36109e+06
18116.9,-463049,6.36114e+06
39111.9,-461914,6.36113e+06
60107,-460779,6.36105e+06
-137248,-457539,6.36009e+06
-116258,-456403,6.36059e+06
-95265.7,-455268,6.36102e+06
-74272,-454133,6.36138e+06
66217.1,-451594,6.36165e+06
87214,-450459,6.36148e+06
108211,-449324,6.36123e+06
129206,-448188,6.36092e+06
-208638,-447487,6.35886e+06
-68175.4,-444948,6.3621e+06
-47177.9,-443813,6.36236e+06
-26179.3,-442678,6.36256e+06
-5180.02,-441543,6.3627e+06
15819.9,-440407,6.36276e+06
-202557,-438303,6.3597e+06
156320,-437869,6.36103e+06
-181568,-437167,6.36041e+06
177315,-436734,6.36056e+06
-160577,-436032,6.36105e+06
198309,-435598,6.36002e+06
-139584,-434897,6.36162e+06
219302,-434463,6.35940e+06
-118588,-433761,6.36213e+06
21927,-431223,6.36337e+06
42929.3,-430088,6.36334e+06
63931.6,-428952,6.36324e+06
84933.7,-427817,6.36307e+06
-252962,-427116,6.35865e+06
225425,-425279,6.35981e+06
-112495,-424577,6.36286e+06
246417,-424143,6.35911e+06
-91495.1,-423442,6.36327e+06
-70493.8,-422307,6.36361e+06
-49491.3,-421171,6.36389e+06
91047.6,-418633,6.3636e+06
-246885,-417931,6.3595e+06
112051,-417498,6.36333e+06
-225897,-416796,6.36036e+06
133054,-416362,6.363e+06
-204906,-415661,6.36114e+06
154056,-415227,6.3626e+06
-183913,-414525,6.36186e+06
175056,-414092,6.36214e+06
-162917,-413390,6.3625e+06
-43389.4,-411987,6.36453e+06
-22383.7,-410852,6.36471e+06
-1377.22,-409716,6.36483e+06
19629.7,-408581,6.36487e+06
40636.9,-407446,6.36484e+06
181177,-404907,6.36256e+06
-156827,-404206,6.36325e+06
202178,-403772,6.362e+06
-135826,-403070,6.3638e+06
223177,-402637,6.36136e+06
-114823,-401935,6.36429e+06
244173,-401502,6.36066e+06
-93818.5,-400800,6.3647e+06
46748.1,-398261,6.36538e+06
-291217,-397560,6.35893e+06
67757.1,-397126,6.36526e+06
-270231,-396425,6.35993e+06
88765.9,-395991,6.36508e+06
-249242,-395289,6.36086e+06
109774,-394856,6.36482e+06
-228250,-394154,6.36172e+06
250299,-392317,6.361e+06
-87719.5,-391616,6.36536e+06
271294,-391182,6.36021e+06
-66711.3,-390480,6.36569e+06
292288,-390047,6.35935e+06
